Lexeme: int , Token : INT found at line #8
Lexeme: method , Token : METHOD found at line #8
Lexeme: main , Token : IDENTIFIER found at line #8
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #8
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #8
Lexeme: @ , Token : START_SYM found at line #9
Lexeme: output , Token : OUTPUT found at line #10
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #10
Lexeme: "Enter your name:" , Token : STR_LIT found at line #10
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #10
Lexeme: ; , Token : SEMICOLON found at line #10
Lexeme: string , Token : STRING found at line #11
Lexeme: name , Token : IDENTIFIER found at line #11
Lexeme: ; , Token : SEMICOLON found at line #11
Lexeme: name , Token : IDENTIFIER found at line #12
Lexeme: = , Token : ASSIGN_OP found at line #12
Lexeme: input , Token : INPUT found at line #12
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #12
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #12
Lexeme: ; , Token : SEMICOLON found at line #12
Lexeme: output , Token : OUTPUT found at line #13
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #13
Lexeme: "Hello" , Token : STR_LIT found at line #13
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #13
Lexeme: ; , Token : SEMICOLON found at line #13
Lexeme: output , Token : OUTPUT found at line #14
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #14
Lexeme: name , Token : IDENTIFIER found at line #14
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #14
Lexeme: ; , Token : SEMICOLON found at line #14
Lexeme: $ , Token : END_SYM found at line #15
